COVID-19 Vaccines _EudraCT Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time run: 07/07/2022 09:25:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
This report refers to all trials on COVID-19 Vaccines that NCAs have uploaded in EudraCT. Trials for which information cannot be shared are marked in yellow and are here anonymised, leaving only information on the EU/EEA countries were the trial is planned to be run. Those are trials for which an authorisation from the National Competent Authority and or the Ethics Committee is awaited, or they are approved phase 1 trials conducted solely in adults. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A.2 EudraCT Number;A.1 NCA;N. NCA Decision;N. NCA Decision Date;N. IEC Opinion of Application;N. IEC Opinion Date;P. Trial Status;P. Global Trial End;F.4.1 Planned Number of Subjects in Member State;F.4.2.1 Planned Number of Subjects in the EEA;F.4.2.2 Planned Number of Subjects in the Whole Clinical Trial;F.1.1 Age Range <18 yrs;F.1.2 Adults (18-64 years);F.1.3 Elderly (>= 65 years);F.3.3.3 Pregnant Women;A.3 Full Title of the Trial;B.1.1 Sponsor Name of Organisation;A.4.1 Sponsor Protocol Code;B.3.1 and B.3.2 Sponsor Status;E.1.1 Medical Condition to be Investigated;E.7.1 Human Pharmacology (phase I);E.7.1.1 First in Human;E.7.1.2 Bioequivalence Study;E.7.1.3 Other;E.7.2 Therapeutic Exploratory (Phase II);E.7.3 Therapeutic Confirmatory (Phase III);E.7.4 Therapeutic Use (phase IV);F.2.1 Population Female;F.2.2 Population Male;A.5.1 ISRCTN Number;A.5.2 US NCT Number;D.3.1 Product Name;D.3.2 Product Code;A.5.3 WHO UTRN;A.5.4 Other Identifier;D.2.1.1.1 Trade Name;D.3.8 Name of Each Active Substance (INN);D.3.9.3 Other Descriptive Name;D.1.2 and D.1.3 Category
2020-001483-28;Belgium - FPS Health-DGM;Authorised;7/14/20;Favourable;6/5/20;;;392;392;1045;No;Yes;Yes;No;A Randomized, Double-blind, Placebo-controlled Phase 1/2a Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of Ad26COVS1 in Adults Aged 18 to 55 Years Inclusive and Adults Aged 65 Years and Older;Janssen Vaccines & Prevention B.V.;VAC31518COV1001;Commercial;Healthy volunteers (Prevention of COVID-19);Yes;Yes;No;No;Yes;No;No;Yes;Yes;;;Ad26COVS1;VAC31518;;;;Not available;Ad26COVS1;Test
2020-002584-63;Spain - AEMPS;Authorised;8/28/20;Favourable;8/25/20;Restarted;No;190;550;550;No;Yes;Yes;No;A Randomized, Double-blind, Placebo-controlled Phase 2a Study to Evaluate a Range of Dose Levels and Vaccination Intervals of Ad26.COV2.S in Healthy Adults Aged 18 to 55 Years Inclusive and Adults Aged 65 Years and Older;Janssen Vaccines & Prevention B.V.;VAC31518COV2001;Commercial;Healthy Volunteers (Prevention of COVID-19);No;No;No;No;Yes;No;No;Yes;Yes;;;Ad26.COV2.S (also known as Ad26COVS1);VAC31518;;;;Not available;Ad26.COV2.S (also known as Ad26COVS1);Test
2020-002641-42;Germany - PEI;Authorised;9/4/20;Favourable;8/31/20;;;500;500;43998;Yes;Yes;Yes;No;A PHASE 1/2/3, PLACEBO-CONTROLLED, RANDOMIZED, OBSERVER-BLIND, DOSE-FINDING STUDY TO EVALUATE THE SAFETY, TOLERABILITY, IMMUNOGENICITY, AND EFFICACY OF SARS-COV-2 RNA VACCINE CANDIDATES AGAINST COVID-19 IN HEALTHY INDIVIDUALS;BioNTech SE;C4591001;Commercial;Protection against COVID-19;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;;NCT04368728;BNT162b1;RBP020.3 (PF-07302048);;;;NAP;RPB020.3;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BNT162b2;RBP020.2 (PF-07302048);;;;NAP;RPB020.2;Test
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BNT162b2SA;RBP020.11 (PF-07302048);;;;NAP;RBP020.11;Test
;France - ANSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;France - ANSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain - AEMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-003643-29;Belgium - FPS Health-DGM;Authorised;12/15/20;Favourable;12/15/20;;;3000;20000;30000;No;Yes;Yes;Yes;A Randomized, Double-blind, Placebo-controlled Phase 3 Study to Assess the Efficacy and Safety of Ad26.COV2.S for the Prevention of SARS-CoV-2-mediated COVID-19 in Adults Aged 18 Years and Older;Janssen Vaccines & Prevention B.V.;VAC31518COV3009;Commercial;Healthy Volunteers, with or without comorbidities (Prevention of SARS-CoV-2-mediated COVID-19);No;No;No;No;No;Yes;No;Yes;Yes;;;Ad26.COV2.S;VAC31518;;;;Not available;Ad26.COV2.S (also known as Ad26COVS1);Test
